ref,family,campaign_title,send_date,send_time,campaign_id,item_id,expanded_image
A01,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-18,08:30,13cm1qf,e398eea8-76d3-467b-a75f-ba0acb1cd2a8,https://images.kiranaclub.ai/widget3/July/1/751f1d95-09d6-43b1-a99d-9fcef5936826/1782907842144.webp
A02,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-19,08:30,~1ka90nd,c49ca000-6a48-4680-b69b-80028e26ffb9,https://images.kiranaclub.ai/widget3/July/1/74d6204f-a777-4431-b889-383cee3b705e/1782908436377.webp
A03,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-20,08:30,~214ro7o,a2fb2bb0-16f0-4043-8823-2547f2cf0cb4,https://images.kiranaclub.ai/widget3/July/1/82956942-28dc-4bb7-99d1-cb37bb6c1d16/1782909032585.webp
A04,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-21,08:30,2gs6qhn,78087899-3f7c-4877-8f64-be1323a58f96,https://images.kiranaclub.ai/widget3/July/2/30bed1d7-98b6-45e4-80e3-6b87e28a9314/1782983335839.webp
A05,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-22,08:30,2nf03i9,4feb6446-b639-4242-bfd2-f1cc8f700ced,https://images.kiranaclub.ai/widget3/July/2/b96a16a7-6ea2-43d6-8aee-aee7c9896600/1782983574193.webp
A06,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-23,08:30,3e48ljp,abeb6565-da43-4433-a726-e49020b65a32,https://images.kiranaclub.ai/widget3/July/2/64e3e322-8ef2-4dea-81d6-74bce2fdc23c/1782983787597.webp
A07,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-24,08:30,9fgoci,425260e9-e422-49d6-b403-49e06b9ae6da,https://images.kiranaclub.ai/widget3/July/2/5f144bd4-eb6b-45fc-ae3e-f5074f784f89/1782984077477.webp
A08,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-25,08:30,2snic3,c2e669c6-0990-45a6-bfa2-a99fdce03d24,https://images.kiranaclub.ai/widget3/July/2/42ebcc6c-5599-4c63-8cfc-4fb5b0972a79/1782984282150.webp
A09,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-27,08:30,~qd3oa8,03e56ac8-57c3-4c05-ba46-f21a94bda6ee,https://images.kiranaclub.ai/widget3/July/15/af4bdb33-7e60-4ef5-bc41-5ac7186cab8a/1784108500977.png
A10,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-28,08:30,cndbm2,835f64bf-0338-45fb-9475-7a5837ba9335,https://images.kiranaclub.ai/widget3/July/27/6edf827d-2afe-40be-99e1-17dca0884750/1785135835134.webp
A11,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-29,08:30,~2hfapsf,682f30be-b304-4623-af47-28fca4049bf0,https://images.kiranaclub.ai/widget3/July/27/d7698b41-1c51-4f3b-acdd-3bea5bba90e1/1785136197894.webp
A12,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-30,08:30,2gs6pe7,b8df6f23-c98a-4d06-86d6-57a68af2ca55,https://images.kiranaclub.ai/widget3/July/27/b4f68da5-1756-421d-9dbb-c9c4105e7fcf/1785140393402.webp
A13,"Reactivation Exp (Image PN, Scheme/FMCG)","Reactivation Exp (Image PN, Scheme/FMCG) 08:30 - Image PN",2026-07-31,08:30,1gf8cqh,68e31e07-5b17-4f5b-9bae-cfeb1b04a5d2,https://images.kiranaclub.ai/widget3/July/30/80207f9d-170b-498e-a373-b142074ee0de/1785389916555.webp
